genes,Fold.c,logCPM,F,p.val,FDR
Grn,2.319,10.918,128.721,1.3600822274786516e-7,1.8426442083633606e-5
Fosl2,4.056,4.219,129.655,1.3756630583037382e-7,1.8426442083633606e-5
Cib1,1.721,5.36,128.024,1.3999124802981593e-7,1.8426442083633606e-5
2900005J15Rik,-3.483,1.243,127.366,1.438708962431132e-7,1.8426442083633606e-5
Galns,2.42,3.321,126.821,1.4718231335973923e-7,1.8426442083633606e-5
Prdx1,1.864,9.9,126.61,1.484860670611292e-7,1.8426442083633606e-5
Aldh1b1,1.717,4.221,126.536,1.489505612422046e-7,1.8426442083633606e-5
Micu3,-1.57,4.873,126.492,1.4922486297008263e-7,1.8426442083633606e-5
Csnk2b,1.388,6.726,126.481,1.492929256970004e-7,1.8426442083633606e-5
Cyb5r3,1.54,7.222,126.275,1.5059146813574932e-7,1.8426442083633606e-5
Itga8,-3.348,5.462,130.006,1.591764882685521e-7,1.9253036621264066e-5
C630043F03Rik,-3.064,3.05,123.958,1.6612002350164426e-7,1.980852200313103e-5
Il1rn,7.885,7.17,142.936,1.6753382669188078e-7,1.980852200313103e-5
Uba7,-1.699,8.016,122.739,1.750447132923207e-7,2.0258481085609394e-5
Anxa4,2.102,8.064,122.72,1.7518975375752682e-7,2.0258481085609394e-5
Mapk3,0.982,5.516,121.972,1.809461768673001e-7,2.0585987730757397e-5
Rps17,1.371,5.129,121.847,1.8193451097219783e-7,2.0585987730757397e-5
Cd300lb,4.828,7.008,139.748,1.8743626042527873e-7,2.098289115377881e-5
Ncapg2,1.727,5.013,120.758,1.907748234490666e-7,2.1131825970047662e-5
Ctsb,1.82,13.475,119.081,2.0540782864373513e-7,2.2315958293487094e-5
Cndp2,1.732,9.032,118.954,2.065698396490985e-7,2.2315958293487094e-5
Litaf,1.682,8.868,118.817,2.07827037229092e-7,2.2315958293487094e-5
Tm6sf1,-1.416,6.699,118.504,2.10737874676469e-7,2.2399946012328112e-5
Anxa1,5.937,8.062,136.049,2.1415521217389322e-7,2.2535552977058783e-5
Skint3,-3.357,4.583,117.764,2.178250512018594e-7,2.269478231482343e-5
Pydc3,-3.596,4.771,120.854,2.215141662279008e-7,2.2852878149178436e-5
Zfp397,-1.771,4.613,116.59,2.2964152317490124e-7,2.3461337362810544e-5
Ncl,1.105,8.844,116.276,2.3292907733940514e-7,2.3568391161947697e-5
Hnrnph3,-2.126,4.122,115.885,2.3709980505294986e-7,2.3645079867321207e-5
Cntnap1,-3.586,1.317,115.785,2.3818098127302558e-7,2.3645079867321207e-5
Trem2,4.695,7.742,131.629,2.522631391616285e-7,2.4809018816802025e-5
Zmym6,-2.149,5.094,113.692,2.6218509191917636e-7,2.554605298393975e-5
Limk2,-1.826,4.962,113.221,2.6796576872554437e-7,2.5869759488980766e-5
Cfl1,1.736,10.113,112.515,2.7691747850826263e-7,2.6324103791473802e-5
Btf3,1.338,6.133,112.457,2.776751421508688e-7,2.6324103791473802e-5
Srpk3,-4.236,6.676,127.578,2.8289844383941965e-7,2.6362223181462006e-5
Rpl36al,1.501,5.588,112.044,2.8308763845910926e-7,2.6362223181462006e-5
Rpl31,1.593,4.624,111.713,2.8752131031815564e-7,2.6540234635771506e-5
Cyp27a1,-3.05,7.944,115.694,2.933820861407437e-7,2.6796802859293877e-5
Anp32b,1.359,4.633,111.14,2.9539381656163544e-7,2.6796802859293877e-5
Treml2,4.085,1.921,110.452,3.051831749946156e-7,2.7448226927079828e-5
Eif3k,1.209,7.453,109.026,3.2669800841304144e-7,2.913426391974945e-5
Runx1,-1.351,6.841,108.29,3.3850757783785294e-7,2.9933741525947284e-5
Rplp0,1.47,9.353,107.976,3.4368993224856123e-7,3.013874297543008e-5
Pydc4,-8.397,6.254,123.169,3.5027283812531513e-7,3.0438186233608042e-5
Ctsl,2.824,8.151,109.593,3.528897387152125e-7,3.0438186233608042e-5
Rmnd1,-1.086,5.861,107.076,3.590772764805342e-7,3.072008276751757e-5
Nceh1,1.433,7.222,106.294,3.731231919942438e-7,3.166431733351151e-5
Inpp4a,-1.625,7.7,105.219,3.9347149181995664e-7,3.291834758547125e-5
Adamts10,-1.437,5.574,105.184,3.941567799837858e-7,3.291834758547125e-5
Rpsa,1.354,5.739,104.513,4.0755215876262867e-7,3.373287087934012e-5
Msrb1,2.896,5.147,105.473,4.109418234889599e-7,3.373287087934012e-5
Rpl41,1.24,6.557,104.222,4.135265935032667e-7,3.373287087934012e-5
