genes,Fold.c,logCPM,F,p.val,FDR
Parp1,0.775,7.321,37.428,6.242251958428407e-5,5.28032293878956e-4
Clec2i,-1.288,4.954,37.369,6.28651009283545e-5,5.313489615012645e-4
Rfx7,-1.046,4.036,37.351,6.299838439281925e-5,5.318282762846237e-4
Fas,1.452,3.665,37.348,6.302288896008036e-5,5.318282762846237e-4
Spp1,3.768,11.303,40.351,6.312237250311822e-5,5.318870701749635e-4
Bckdhb,-1.471,2.366,37.328,6.317215623578298e-5,5.318870701749635e-4
Asl,0.631,6.642,37.321,6.323195887494924e-5,5.318870701749635e-4
Nlrp1c-ps,-2.653,5.431,40.335,6.32320369465817e-5,5.318870701749635e-4
Opa3,0.774,4.867,37.305,6.335293404085943e-5,5.321120279757205e-4
Zfp169,-1.455,2.983,37.304,6.33599136228811e-5,5.321120279757205e-4
Atp6v1h,0.688,7.211,37.296,6.341875877627701e-5,5.321814980883277e-4
Traf7,0.616,5.964,37.261,6.368747281311226e-5,5.340105788146456e-4
Slc16a7,-2.548,6.204,40.234,6.391520642841643e-5,5.349209511515212e-4
Ube2e1,-1.606,3.605,37.23,6.392684529009025e-5,5.349209511515212e-4
Arpc4,0.901,9.457,37.209,6.409011062942988e-5,5.349209511515212e-4
Psmd9,1.07,4.631,37.206,6.411078359339443e-5,5.349209511515212e-4
Naglu,1.205,3.809,37.203,6.413129658401363e-5,5.349209511515212e-4
Inpp5e,-1.341,3.969,37.201,6.414546561199213e-5,5.349209511515212e-4
2700094K13Rik,1.223,3.118,37.199,6.416243387039081e-5,5.349209511515212e-4
Glod4,0.859,5.901,37.194,6.420271417888162e-5,5.349209511515212e-4
Clasp1,-0.704,5.183,37.164,6.443896350464604e-5,5.361181664910675e-4
Slc44a1,1.466,5.0,37.162,6.444842025230987e-5,5.361181664910675e-4
Pcyt1b,-2.104,2.005,37.156,6.44992491473621e-5,5.361181664910675e-4
Htra2,-2.103,5.9,39.45,6.539227664148401e-5,5.43112018230731e-4
Kif4,3.503,2.459,37.824,6.568608493894968e-5,5.451219809247378e-4
Ccnd1,-1.615,5.187,37.119,6.606753977033904e-5,5.478555721066018e-4
Gpx4,1.214,7.129,36.942,6.618821269562501e-5,5.484240647213087e-4
Ptma,0.902,8.033,36.934,6.625217212551019e-5,5.485221143011359e-4
Fam64a,2.928,3.047,37.737,6.700926802711843e-5,5.543541882463579e-4
Sbds,-0.629,7.054,36.823,6.715895413310607e-5,5.551560678261391e-4
Ccl7,4.043,6.472,39.761,6.723701089116875e-5,5.553650436481702e-4
Cp,2.155,5.417,39.153,6.74640508925974e-5,5.568033000335706e-4
Cnih1,0.643,6.098,36.7,6.816864853480012e-5,5.621776555891079e-4
Asns,3.062,2.6,36.924,6.826478566038855e-5,5.625296315616826e-4
Atox1,0.937,8.302,36.678,6.834914774720636e-5,5.627841015210113e-4
Gapt,-1.48,4.888,36.667,6.844000871416634e-5,5.630916432362567e-4
Vps33a,0.731,6.195,36.642,6.865553575878068e-5,5.644235959294133e-4
Zfp719,-1.267,4.635,36.582,6.916207232029867e-5,5.681440179754122e-4
Apol7c,-3.463,2.474,37.19,6.940258771801695e-5,5.692875423477065e-4
Brox,0.827,5.953,36.552,6.940947608401666e-5,5.692875423477065e-4
Slc18a2,-0.918,4.112,36.523,6.966073185201677e-5,5.709033343292621e-4
Slc7a11,6.699,3.468,39.42,6.976341957604912e-5,5.712042073342604e-4
Sntb2,1.421,3.138,36.502,6.983867802908786e-5,5.712042073342604e-4
Hars,0.599,5.977,36.499,6.986028840056952e-5,5.712042073342604e-4
Ms4a7,1.135,10.533,36.484,6.998824359187706e-5,5.713948560976044e-4
Flnb,-1.909,5.036,37.65,6.999220464789623e-5,5.713948560976044e-4
Phrf1,-1.032,5.488,36.449,7.029668832650645e-5,5.733297992289481e-4
Il7r,3.67,4.506,39.344,7.033818975620755e-5,5.733297992289481e-4
Vdac3,0.777,5.371,36.437,7.039954958933176e-5,5.733858052078468e-4
Angpt4,-5.55,2.327,39.032,7.049505716262925e-5,5.73719633814654e-4
Rdh5,-1.611,2.316,36.408,7.064723821565275e-5,5.745138236037974e-4
Plxdc2,-2.566,7.242,39.283,7.081062694276942e-5,5.752008570273647e-4
Rnf135,-1.421,3.984,36.385,7.084684472492601e-5,5.752008570273647e-4
Zfp809,-1.033,4.735,36.374,7.094467692329828e-5,5.752008570273647e-4
Tmem221,-1.981,1.633,36.373,7.095036704566372e-5,5.752008570273647e-4
Ceacam19,6.073,1.716,47.584,7.131888453882383e-5,5.777433579692403e-4
Mrpl28,0.662,6.346,36.317,7.144407986617665e-5,5.783123480244437e-4
Olfm1,3.137,4.614,39.181,7.159841137505918e-5,5.791161282857401e-4
Erdr1,-2.657,4.132,38.214,7.170979450727663e-5,5.795715572965224e-4
Slc4a9,-2.043,2.171,36.271,7.184329156785873e-5,5.798726617330324e-4
Ighm,-1.607,9.498,36.587,7.185726037250538e-5,5.798726617330324e-4
B4galt4,-1.254,3.651,36.242,7.210070626390866e-5,5.813913655288206e-4
Gtpbp6,-1.481,1.559,36.226,7.224279201434414e-5,5.820910416285937e-4
3110056K07Rik,-1.921,2.743,36.206,7.242515608670436e-5,5.826722536835927e-4
Mcm3ap,-0.96,4.133,36.206,7.242566832824661e-5,5.826722536835927e-4
Sdr39u1,-1.425,4.324,36.194,7.252890853312348e-5,5.826868525925277e-4
Slc3a2,0.939,5.404,36.193,7.25382283470694e-5,5.826868525925277e-4
Arl4a,-0.995,4.149,36.179,7.266746840299192e-5,5.828467899765951e-4
Fam20c,3.775,3.572,39.045,7.266891461078521e-5,5.828467899765951e-4
Ncaph,2.191,4.069,36.914,7.313926292322438e-5,5.861724780967936e-4
Kansl3,-0.669,6.514,36.088,7.349096896840726e-5,5.88542972948668e-4
Sh2b1,-1.077,3.696,36.076,7.359688957983593e-5,5.889430182879191e-4
Pqlc1,0.79,6.388,35.993,7.435969377217276e-5,5.945405300022592e-4
Eif2s3x,0.621,6.696,35.987,7.440937736510267e-5,5.945405300022592e-4
Rrnad1,-1.109,4.856,35.946,7.479212252025333e-5,5.971452999094277e-4
Hs3st1,-4.476,4.001,38.766,7.492990342030243e-5,5.977917920332392e-4
Gtse1,2.738,2.664,35.91,7.512088397074949e-5,5.988614106243916e-4
Eif3e,0.839,7.688,35.898,7.523503626747178e-5,5.992218329695202e-4
Aph1b,-1.335,4.566,35.893,7.527998319734921e-5,5.992218329695202e-4
Atpif1,0.608,7.135,35.877,7.543506901630912e-5,6.000024423723514e-4
Pgam2,-5.141,4.756,38.675,7.567759383675672e-5,6.014768277524101e-4
Siva1,1.211,3.489,35.812,7.604488545787843e-5,6.037894443830671e-4
H2-M3,-0.81,8.16,35.808,7.608332255553996e-5,6.037894443830671e-4
Il10,4.454,1.416,36.576,7.615864139806881e-5,6.039317132116639e-4
Mum1,-0.604,5.409,35.784,7.63045672846043e-5,6.040932322039834e-4
Ak2,0.849,7.213,35.782,7.63321141517724e-5,6.040932322039834e-4
Gm13710,2.382,3.056,35.78,7.635123052658917e-5,6.040932322039834e-4
F11r,-2.637,7.539,38.571,7.655024687387486e-5,6.049193063896517e-4
Mau2,-0.8,5.338,35.757,7.65706087723098e-5,6.049193063896517e-4
Sppl2b,-1.777,3.886,35.629,7.779252231709003e-5,6.138221263719677e-4
Cwh43,-4.69,2.74,38.4,7.781418954482608e-5,6.138221263719677e-4
Mrpl52,0.968,5.571,35.609,7.799630631181392e-5,6.146676028064379e-4
4932438A13Rik,-1.072,5.175,35.604,7.803819417935959e-5,6.146676028064379e-4
Lamp1,1.313,7.645,35.594,7.813395275799547e-5,6.149615444071701e-4
Bcl9,-1.561,3.582,35.545,7.861890045116232e-5,6.178763564616172e-4
Bbs2,-1.383,3.227,35.534,7.872951075582304e-5,6.178763564616172e-4
Ctps,1.955,1.732,35.533,7.87318737390594e-5,6.178763564616172e-4
Mitf,1.314,5.01,35.533,7.87391612672269e-5,6.178763564616172e-4
Rpl7,0.77,8.908,35.522,7.884680464708159e-5,6.18260003950253e-4
Eif4b,0.804,7.97,35.505,7.900778494791062e-5,6.189911306795957e-4
Gpr152,-3.538,2.4,36.059,7.905769073775317e-5,6.189911306795957e-4
Lphn3,-5.354,2.558,38.27,7.914954567232629e-5,6.19249568111442e-4
Bdh1,-3.243,3.155,37.05,7.923007596851738e-5,6.19419085747926e-4
Sap130,-0.865,4.333,35.459,7.946629640573381e-5,6.205800615653634e-4
Hmox1,3.55,9.406,38.227,7.952976468187926e-5,6.205800615653634e-4
Gins1,1.429,3.091,35.45,7.955549777170724e-5,6.205800615653634e-4
Cdk12,-0.845,4.814,35.438,7.967483851959905e-5,6.210506116605487e-4
Zfp329,-1.453,4.248,35.41,7.995332460481358e-5,6.227600553785739e-4
Polr2i,0.831,3.943,35.383,8.023032641269399e-5,6.241337096292913e-4
Tkt,0.735,9.189,35.381,8.024830458314466e-5,6.241337096292913e-4
Gcgr,-4.691,3.312,38.102,8.06376567974524e-5,6.265801931248787e-4
Ranbp1,1.215,3.885,35.338,8.068195017430491e-5,6.265801931248787e-4
Drg1,0.609,6.914,35.309,8.097614090258529e-5,6.281809512739377e-4
Tha1,-1.634,2.839,35.306,8.10074646848554e-5,6.281809512739377e-4
Gm15800,-0.984,4.507,35.293,8.11379022819095e-5,6.287291205541484e-4
Ptger4,1.049,4.332,35.287,8.120772248438622e-5,6.288071108927124e-4
Cd81,-1.416,11.902,35.277,8.130039327908882e-5,6.290617929969497e-4
Snx8,0.762,5.771,35.26,8.147451919895855e-5,6.299458967895965e-4
Glb1l2,-2.452,4.223,36.798,8.159848085275162e-5,6.301620441433923e-4
Rpl30,0.917,5.851,35.242,8.166843202815176e-5,6.301620441433923e-4
Rcbtb2,0.889,5.969,35.24,8.168664679578829e-5,6.301620441433923e-4
Gcnt2,2.208,2.602,35.234,8.174201180801391e-5,6.301620441433923e-4
Pard6b,-2.885,1.006,35.157,8.254137980501854e-5,6.358586674145022e-4
Snhg6,-1.177,4.029,35.13,8.282828175759738e-5,6.376020548172621e-4
Plscr1,1.236,5.364,35.115,8.298374857791015e-5,6.381082123986034e-4
Phka1,-1.558,2.957,35.112,8.301531338721734e-5,6.381082123986034e-4
Rbm7,0.755,6.607,35.104,8.310120522260549e-5,6.383021770492537e-4
Clec4a2,0.986,8.173,35.065,8.350851149311363e-5,6.40962849337735e-4
Thap1,-2.01,1.725,35.053,8.363100523066154e-5,6.413069734808757e-4
Dok1,-1.553,6.404,35.906,8.367523278430507e-5,6.413069734808757e-4
Slc39a13,-1.677,2.846,35.02,8.398033112913494e-5,6.431768737058857e-4
Rbks,1.531,2.119,34.976,8.445355142752711e-5,6.463307066704492e-4
Pip4k2a,-0.736,6.65,34.966,8.45643892875511e-5,6.467086253436775e-4
Lactb,1.644,3.21,34.947,8.476842150686739e-5,6.47798184108036e-4
Haus8,0.991,5.95,34.92,8.505211458126403e-5,6.494944860222362e-4
Pfdn5,0.742,7.868,34.891,8.536986824631956e-5,6.514482404322122e-4
Nfx1,-0.648,6.756,34.835,8.598028605737955e-5,6.556308334650761e-4
Pfdn4,0.854,4.273,34.822,8.611493542544108e-5,6.557648018902002e-4
Dsn1,1.285,2.827,34.822,8.612248942433304e-5,6.557648018902002e-4
Ap1b1,0.87,7.205,34.8,8.636060825699168e-5,6.571024444601037e-4
Emilin1,1.343,4.43,34.774,8.664481420242062e-5,6.587885692572776e-4
Plk2,3.845,6.05,37.453,8.673884512860934e-5,6.590273410024232e-4
Cox14,-1.027,5.251,34.754,8.687098762138052e-5,6.595551246318811e-4
Bcl2a1d,1.611,1.36,34.743,8.698706204892695e-5,6.596529622085698e-4
Arhgap1,0.665,7.119,34.741,8.70092475097876e-5,6.596529622085698e-4
Zfp182,-1.048,3.896,34.636,8.818211621170716e-5,6.676679091180273e-4
Cep83,1.187,3.651,34.635,8.81933282974492e-5,6.676679091180273e-4
Fis1,0.751,6.881,34.574,8.887699734752071e-5,6.723599159510859e-4
Polr2j,0.635,5.11,34.532,8.935476517416205e-5,6.754886450630081e-4
Nkiras2,0.743,6.314,34.502,8.970791059964385e-5,6.77671459612385e-4
Gsr,2.158,4.476,35.693,8.999677294606894e-5,6.792330346786944e-4
Srxn1,1.439,3.203,34.472,9.004372169312732e-5,6.792330346786944e-4
Ikzf2,-2.535,1.465,34.462,9.01632302997466e-5,6.796473298311127e-4
Mad2l2,0.939,4.684,34.456,9.0235256811886e-5,6.797033696717798e-4
Hmgn5,0.946,3.522,34.412,9.074074085729417e-5,6.830220429480019e-4
Eef2k,-1.733,4.085,34.399,9.089460359912108e-5,6.833131235318198e-4
Vdac2,0.658,8.328,34.398,9.090928185351589e-5,6.833131235318198e-4
Tbc1d22a,0.846,6.425,34.379,9.112356932531958e-5,6.839213151952317e-4
Abhd16a,-1.707,5.53,35.42,9.116364284102306e-5,6.839213151952317e-4
Igkc,-7.433,7.951,37.012,9.11851758261817e-5,6.839213151952317e-4
Rab9,0.719,5.527,34.353,9.143129982925548e-5,6.852788946604384e-4
Rsu1,0.814,7.266,34.335,9.16439492647338e-5,6.863838278382873e-4
Fut10,-1.625,3.088,34.299,9.206534128556923e-5,6.890494924239296e-4
Pex11g,-1.333,3.07,34.278,9.232434511512127e-5,6.904968611559497e-4
Wdr26,0.698,6.641,34.264,9.248796876167405e-5,6.912293290334489e-4
Ankrd13a,0.706,4.654,34.237,9.28030612021644e-5,6.930919893757104e-4
Fau,0.976,3.194,34.22,9.30148658234213e-5,6.941811581984839e-4
5530601H04Rik,-1.087,4.976,34.201,9.324123856920603e-5,6.953774298113076e-4
Ints12,0.923,5.818,34.189,9.338314243053088e-5,6.95942498439431e-4
Bud31,0.68,5.246,34.183,9.345064012290147e-5,6.95952644029223e-4
Scimp,-1.704,8.403,35.123,9.411116988582517e-5,7.003761249706777e-4
Tsen15,-1.295,2.39,34.08,9.470613076924412e-5,7.043057343355166e-4
Snrpg,1.059,3.93,34.054,9.502904116903426e-5,7.053355474497657e-4
1700049G17Rik,-1.726,2.985,34.051,9.505546203295026e-5,7.053355474497657e-4
Micu1,0.558,6.248,34.049,9.508164699929132e-5,7.053355474497657e-4
Ubl7,0.775,6.111,34.047,9.51127189804445e-5,7.053355474497657e-4
Rprd1b,-1.588,1.966,34.036,9.524181441821057e-5,7.05795502199176e-4
Fgd6,2.519,1.708,34.026,9.536992399877577e-5,7.062475089648962e-4
Rps7,1.377,3.425,34.008,9.558964613587811e-5,7.073768258001726e-4
Rab13,1.496,2.577,33.993,9.57807118890621e-5,7.082926431543222e-4
Zdhhc1,-1.913,1.831,33.982,9.591048466399498e-5,7.087542346342832e-4
Gpatch2,-1.114,3.512,33.972,9.60373569088957e-5,7.091937591244277e-4
Mad2l1,1.615,4.305,33.959,9.619379333440258e-5,7.098508325791854e-4
Smc2,1.314,5.612,33.946,9.635953236620581e-5,7.105755845056649e-4
Cox7a2l,0.898,7.556,33.9,9.694280830784967e-5,7.14301189232748e-4
Ezh1,-0.641,6.775,33.895,9.700051310592007e-5,7.14301189232748e-4
Slc2a3,-2.345,5.1,36.263,9.760537691271093e-5,7.182527141625575e-4
Ccdc115,0.842,5.442,33.84,9.769280978534521e-5,7.18393736807259e-4
A930007I19Rik,4.034,0.868,34.005,9.790494902460372e-5,7.18685813199526e-4
Ccr1,4.032,7.031,36.391,9.792734980135647e-5,7.18685813199526e-4
Zfp672,-1.413,4.689,33.821,9.793741861903642e-5,7.18685813199526e-4
Slfn2,0.985,9.081,33.804,9.815663283395423e-5,7.197925068374218e-4
Lasp1,1.081,7.37,33.769,9.859935530239789e-5,7.225355263559422e-4
Rpl37rt,1.181,2.186,33.759,9.872466242060255e-5,7.229503289157972e-4
Vbp1,0.576,6.267,33.752,9.882291255032781e-5,7.231665568616825e-4
Srsf11,-0.63,6.716,33.728,9.912396700670902e-5,7.248655349628903e-4
Crcp,0.934,5.735,33.721,9.922007301960886e-5,7.250644641564889e-4
Fth1,1.552,9.15,34.044,9.975930013886608e-5,7.284990391126215e-4
Narg2,-0.794,4.247,33.668,9.989981915511748e-5,7.290192766777401e-4
Ctdp1,0.964,3.47,33.659,1.000281528040878e-4,7.294499320564213e-4
Tppp,-4.489,2.251,35.179,1.001218788948745e-4,7.296277919742135e-4
Sft2d1,-0.957,5.203,33.625,1.0047395623976947e-4,7.313288130132755e-4
Aebp1,-3.197,1.994,33.623,1.0049429474647879e-4,7.313288130132755e-4
Parp10,-1.069,6.533,33.616,1.0058815503813127e-4,7.31505981662927e-4
Atf6,-0.629,7.218,33.594,1.0087933637216026e-4,7.331168899476813e-4
Zfp292,-0.733,5.379,33.583,1.0101749418839322e-4,7.334738849494164e-4
Ncapd2,1.376,4.415,33.579,1.0106786402895122e-4,7.334738849494164e-4
Sqstm1,0.855,5.91,33.559,1.0134314938165355e-4,7.34964824909125e-4
Abhd12,0.849,6.791,33.549,1.0146590771265126e-4,7.352649417043969e-4
Fam69a,-0.662,6.72,33.545,1.0152427637522463e-4,7.352649417043969e-4
Batf3,-1.315,3.627,33.498,1.0214604561344166e-4,7.392591733082851e-4
Esyt1,0.909,5.506,33.474,1.0247466712862111e-4,7.411277815769622e-4
Sra1,0.618,6.187,33.434,1.0300571074440399e-4,7.444567954418704e-4
Mib2,-2.213,1.635,33.424,1.031445761539996e-4,7.449487816530802e-4
Zfp942,-0.97,4.477,33.418,1.0322228594890634e-4,7.44998707160728e-4
Mb21d1,-1.087,4.968,33.407,1.0338066259448183e-4,7.45342180477047e-4
Scn4b,-4.462,2.486,35.43,1.0341153506571212e-4,7.45342180477047e-4
Psmd4,0.674,7.137,33.399,1.0348855542498343e-4,7.453867684716637e-4
Tinf2,-0.951,4.065,33.387,1.0364773750119228e-4,7.45527702673442e-4
Dnase2a,0.718,6.811,33.387,1.0364981744856462e-4,7.45527702673442e-4
Dhx38,0.768,5.678,33.38,1.0373648347963123e-4,7.45641404136721e-4
Fpgs,-2.152,2.802,33.348,1.0417825863959123e-4,7.483056762214461e-4
Setd5,-0.883,4.456,33.316,1.0461329266758015e-4,7.509179254713138e-4
Nbeal2,-1.198,4.638,33.286,1.0502888848284204e-4,7.529117480769208e-4
Pes1,0.849,6.407,33.286,1.0503415814662356e-4,7.529117480769208e-4
Tcirg1,-0.879,8.268,33.272,1.0522364541296849e-4,7.529217527336838e-4
Prpsap2,-0.675,4.796,33.269,1.0526615618360357e-4,7.529217527336838e-4
Tmem126a,0.622,5.035,33.265,1.0531560461807082e-4,7.529217527336838e-4
Gm17249,-2.723,1.63,33.265,1.0532175425486862e-4,7.529217527336838e-4
Ptrhd1,0.882,3.998,33.208,1.0611053766914162e-4,7.580456129615596e-4
Neurl2,1.579,1.787,33.199,1.0623947002067968e-4,7.584517930987871e-4
Trrap,-0.693,5.423,33.189,1.0638645405418292e-4,7.587023344726014e-4
Zscan20,-1.463,2.706,33.186,1.0641876325017198e-4,7.587023344726014e-4
Ankrd10,-1.263,4.137,33.179,1.0652756590747381e-4,7.589638294139112e-4
Sec31b,-2.343,1.313,33.151,1.0691742119707607e-4,7.612259967908196e-4
Cxcl1,6.024,4.063,35.629,1.0703364145068122e-4,7.615382075628928e-4
Dnmbp,-1.133,3.166,33.137,1.0711065031182759e-4,7.615711981292984e-4
Fen1,1.487,1.56,33.129,1.0722683070536307e-4,7.618824709740281e-4
Ggcx,-0.857,4.452,33.123,1.0730529147798922e-4,7.619254940775173e-4
Zfp710,-0.68,6.678,33.097,1.0768109590577326e-4,7.639717758698737e-4
Rnf145,-1.05,5.705,33.093,1.0773867864590826e-4,7.639717758698737e-4
Zfp948,-1.035,3.598,33.067,1.0810329830574854e-4,7.65809478288179e-4
Il1rl1,-2.555,4.58,35.306,1.0820094495112848e-4,7.65809478288179e-4
Fndc7,-1.938,3.137,33.059,1.0821616404205286e-4,7.65809478288179e-4
Arpc5,0.831,9.248,33.049,1.0837040032794439e-4,7.663855662976874e-4
Nrf1,-0.664,5.428,33.041,1.0848763226455743e-4,7.666993648891456e-4
Cd82,-0.811,8.063,33.027,1.0867489503233195e-4,7.675073291444491e-4
Csde1,0.809,9.661,33.004,1.090166681639144e-4,7.69404694224595e-4
Rabac1,-1.927,6.018,34.984,1.0910131877487383e-4,7.694860438793548e-4
Zfp30,-2.744,1.588,32.991,1.0920802400984925e-4,7.697227305128222e-4
Sept9,1.541,6.961,33.904,1.0955748939701222e-4,7.716689832160372e-4
Fam120a,0.728,6.521,32.952,1.0977127725370265e-4,7.726576257797411e-4
Nuak1,1.68,2.584,32.929,1.1009760177241529e-4,7.744365397400575e-4
Rexo2,1.324,3.534,32.882,1.1079826250748114e-4,7.784441368548465e-4
Ccnl1,-0.832,6.751,32.88,1.1081529193277203e-4,7.784441368548465e-4
Tnfaip3,1.703,5.269,33.799,1.11024700934887e-4,7.793948818797971e-4
Mccc1,-1.02,5.751,32.86,1.1111785405048178e-4,7.795287854488132e-4
Tsta3,0.794,5.507,32.833,1.115175290244224e-4,7.818114309953344e-4
Ift22,1.284,4.115,32.818,1.117385293021057e-4,7.828392435726088e-4
Arhgap27,-1.224,5.599,32.804,1.1194730542951553e-4,7.834685773505582e-4
Trpt1,-1.484,1.898,32.802,1.1197726316974622e-4,7.834685773505582e-4
Mis18bp1,1.636,3.777,32.776,1.1236174088162676e-4,7.85636278602896e-4
Rsrc2,-0.687,6.814,32.763,1.1256314066153724e-4,7.861039403932029e-4
Ezh2,1.049,3.411,32.762,1.125780327066955e-4,7.861039403932029e-4
Dock6,-1.682,2.354,32.749,1.1276661673695569e-4,7.868986126810244e-4
Slc8a1,-1.711,2.791,32.729,1.1306306431539043e-4,7.879855683239719e-4
Commd2,0.759,5.442,32.729,1.1307214750253706e-4,7.879855683239719e-4
Crlf3,-0.642,5.352,32.703,1.1345493955809749e-4,7.901299331369026e-4
Clcf1,-1.269,3.457,32.683,1.1376312590083647e-4,7.917522313852528e-4
Cdc42ep4,-1.437,4.438,32.675,1.1389249833604329e-4,7.921287243821438e-4
Pkn1,-0.636,5.82,32.663,1.1406964367747523e-4,7.926280917106183e-4
Pml,-1.239,6.347,32.66,1.1411494430690743e-4,7.926280917106183e-4
Creg1,1.012,5.838,32.652,1.1422877241295115e-4,7.928953641830376e-4
Slc11a1,0.807,9.863,32.636,1.1447907342972884e-4,7.941089582735903e-4
Abl1,-0.893,5.617,32.607,1.1492870974976038e-4,7.967027751625352e-4
Acsl1,-1.162,7.899,32.592,1.1515070867540838e-4,7.976665314651561e-4
Cbx3,0.768,5.737,32.588,1.1521934123605789e-4,7.976665314651561e-4
Arfrp1,-1.226,5.485,32.574,1.154327986829966e-4,7.986188958193118e-4
Ift172,-0.784,4.839,32.557,1.156971420417428e-4,7.993690649940443e-4
Icosl,-1.761,7.821,33.901,1.1574724802833289e-4,7.993690649940443e-4
Asb13,-0.933,5.458,32.552,1.157691205027961e-4,7.993690649940443e-4
Rfc5,1.622,1.586,32.507,1.1647479620632999e-4,8.032133072556944e-4
S100g,-4.401,3.649,34.915,1.164785238878827e-4,8.032133072556944e-4
Coa4,0.755,4.435,32.5,1.1658790239919847e-4,8.034410589042341e-4
Tlr13,1.056,7.905,32.464,1.1715206616408671e-4,8.063529289765759e-4
Gmfg,0.9,4.512,32.463,1.1716370126439081e-4,8.063529289765759e-4
Mapk7,-1.241,5.018,32.441,1.1751124969786093e-4,8.082162618108436e-4
Rasgrp1,-1.046,4.433,32.431,1.176660383247496e-4,8.087373321947854e-4
Rgs11,-2.558,2.571,32.426,1.1774071965432018e-4,8.087373321947854e-4
Pfdn6,0.687,5.284,32.376,1.185416169732666e-4,8.13707394265939e-4
Ddx1,0.698,6.392,32.365,1.1871759748493904e-4,8.143841449374274e-4
Cdc42bpa,-2.36,2.477,32.354,1.1888528338068801e-4,8.150031511498241e-4
Kmt2a,-1.15,6.22,32.316,1.1950091731025693e-4,8.186902036821834e-4
Mrpl41,0.823,4.374,32.308,1.1961983297371628e-4,8.189716996632508e-4
Gatc,-1.135,4.596,32.266,1.2030340612220367e-4,8.231162175708383e-4
Tlr9,-1.325,3.581,32.248,1.2059656827350651e-4,8.245858921001358e-4
Tmed3,1.006,7.479,32.23,1.2089672265730997e-4,8.261014367031642e-4
Irak2,-1.15,6.748,32.214,1.211542934374114e-4,8.265676153197972e-4
Tut1,-0.654,5.256,32.213,1.2116189251687485e-4,8.265676153197972e-4
Tmem64,-1.247,3.916,32.211,1.212005920781571e-4,8.265676153197972e-4
Por,0.731,6.985,32.199,1.2140301488471286e-4,8.268261234700358e-4
Chil3,11.227,3.129,34.568,1.2142903150095014e-4,8.268261234700358e-4
Bcl2a1b,1.171,4.542,32.192,1.2151489097673449e-4,8.268261234700358e-4
Bcl2a1c,1.416,1.764,32.189,1.215527903647387e-4,8.268261234700358e-4
Qars,0.705,7.001,32.172,1.2183435509848093e-4,8.282060198328907e-4
Gpi1,0.627,8.39,32.149,1.2222191674619945e-4,8.303042155715022e-4
Atp6v1e1,0.772,7.474,32.11,1.2285744385842097e-4,8.340831494981702e-4
Sh3bp1,-1.756,5.309,33.168,1.230904239896066e-4,8.35126068112592e-4
mt-Cytb,-1.793,12.543,33.077,1.233773792785331e-4,8.365336096314457e-4
Saa3,8.076,3.208,34.423,1.235810819998968e-4,8.373752259400605e-4
Psmc2,0.696,7.437,32.057,1.2373947261216543e-4,8.379089255455707e-4
Aurkb,2.977,4.159,34.399,1.2392807813898e-4,8.386464091681585e-4
Dynlt1a,1.566,1.569,32.001,1.2469237343028163e-4,8.432762503900088e-4
Smpd5,-1.362,3.492,31.99,1.2486890850705765e-4,8.439277612201462e-4
Fbxo6,0.61,5.127,31.979,1.2506344363535422e-4,8.447000111520105e-4
Ninj1,2.236,4.383,33.34,1.2518896483312467e-4,8.447125515089598e-4
Hnrnpa1,0.879,4.497,31.969,1.2522584627520453e-4,8.447125515089598e-4
Smg1,-0.862,6.354,31.957,1.25427267353253e-4,8.455292340539919e-4
Ndufs2,-1.478,5.825,32.486,1.258790533654987e-4,8.474369457622523e-4
Jade2,-1.061,6.128,31.929,1.259191178228839e-4,8.474369457622523e-4
Zfp142,-1.11,3.748,31.925,1.2598763746197238e-4,8.474369457622523e-4
1300002E11Rik,-1.12,3.52,31.922,1.260323881134586e-4,8.474369457622523e-4
Zfp438,-1.445,3.412,31.892,1.2654010627525148e-4,8.496176576863196e-4
Gm11131,-1.654,4.264,31.888,1.266217988358593e-4,8.496176576863196e-4
Vapa,0.747,6.128,31.885,1.2667036939701507e-4,8.496176576863196e-4
Sec22c,1.999,2.02,31.884,1.2668475015178225e-4,8.496176576863196e-4
Bub3,0.859,4.996,31.878,1.2678993406468016e-4,8.496176576863196e-4
Pold4,0.782,6.643,31.867,1.2697780824078698e-4,8.496176576863196e-4
Fgf9,-4.071,3.035,34.195,1.2703654648758654e-4,8.496176576863196e-4
Ckap2,3.223,2.795,32.962,1.2706684250485557e-4,8.496176576863196e-4
Mpeg1,0.865,9.926,31.852,1.2723017611514126e-4,8.496176576863196e-4
Cmtm6,-1.084,6.821,31.852,1.272396607898936e-4,8.496176576863196e-4
Ptpn12,0.774,4.73,31.852,1.2724483783271306e-4,8.496176576863196e-4
Chd9,-0.722,5.988,31.834,1.2754860970125048e-4,8.511059098834869e-4
Slc35f6,1.122,6.622,31.775,1.2858136396058518e-4,8.574535443328503e-4
Naa16,-1.033,3.97,31.762,1.2881030866902996e-4,8.580497310368919e-4
Fabp4,4.197,3.032,34.079,1.2883384729053398e-4,8.580497310368919e-4
Pramef8,-0.75,5.425,31.753,1.2897025032055002e-4,8.584148919184996e-4
Mrpl11,0.76,5.476,31.746,1.2909408289466635e-4,8.586959761697685e-4
Mphosph6,0.999,4.444,31.736,1.2926093017249517e-4,8.592626457392084e-4
Trim11,-1.372,3.786,31.723,1.2949856402781967e-4,8.60298856859057e-4
